ticker,z_score,expected_return,position,price,shares,position_value,weight
HII,-4.154750531209791,-0.012695372456614147,long,190.6394,53.0,10103.8882,0.0050519441
TFX,-4.150447359174365,-0.008581145865575289,long,200.26,50.0,10013.0,0.0050065
APTV,-4.115602201392965,-0.010503955542012106,long,54.96,180.0,9892.8,0.004946399999999999
MPWR,-3.7405591951658703,-0.008367098089702428,long,743.29,14.0,10406.06,0.00520303
EL,-3.604710704083845,-0.014958574800238265,long,68.615,145.0,9949.175,0.0049745875
MGM,-3.270047278560767,-0.002483183894726165,long,36.5088,272.0,9930.3936,0.0049651968
MET,-3.2366521853063683,-0.0019122345900017292,long,78.6883,629.0,49494.9407,0.02474747035
IDXX,-3.167553077146619,-0.008833803098732157,long,409.9821,25.0,10249.5525,0.00512477625
SMCI,-3.1519781193402867,-0.01181151472406693,long,28.8108,344.0,9910.9152,0.0049554576
EBAY,-3.12019911181027,-0.005536646529254568,long,57.03,174.0,9923.22,0.00496161
CDW,-3.117987625926273,-0.007283714687628697,long,189.775,53.0,10058.075,0.005029037500000001
SWKS,-3.0976127175050636,-0.005262195258172716,long,86.9,116.0,10080.400000000001,0.005040200000000001
QRVO,-3.006827737684541,-0.014474197500065322,long,70.535,141.0,9945.435,0.0049727174999999995
TT,-2.97130213974568,-0.0023959229719721135,long,367.2462,137.0,50312.7294,0.0251563647
INVH,-2.960789343229355,-0.004283591897691857,long,31.87,311.0,9911.57,0.004955785
BALL,-2.9555104839731583,-0.005006888452342645,long,60.3008,165.0,9949.632,0.004974816
CZR,-2.9349024606248837,-0.0014302341807726517,long,40.0167,1234.0,49380.6078,0.0246903039
XYL,-2.9240239786810336,-0.003998533550239742,long,122.8868,82.0,10076.7176,0.0050383588
REGN,-2.911555845383598,-0.010009280664392821,long,829.72,13.0,10786.36,0.00539318
ICE,-2.865389597737501,-0.0012695120428843425,long,155.52,319.0,49610.880000000005,0.02480544
AFL,-2.8456812777754306,-0.002457398498337786,long,105.35,470.0,49514.5,0.02475725
UDR,-2.8277502698198953,-0.002762076579332203,long,42.475,816.0,34659.6,0.0173298
DVA,-2.761346019480709,-0.006431150090669355,long,140.11,72.0,10087.920000000002,0.005043960000000001
KEYS,-2.7309556874144567,-0.002755391329240882,long,148.868,68.0,10123.024,0.005061512
ORCL,-2.696184157337436,-0.0006325053533324509,long,167.595,296.0,49608.12,0.024804060000000003
LLY,-2.6744655545439544,-0.002221035214125446,long,839.43,60.0,50365.799999999996,0.025182899999999998
CHRW,-2.586313693647834,-0.0023404435266451925,long,104.34,475.0,49561.5,0.02478075
FTV,-2.581830014161605,-0.004343816761903275,long,71.3198,140.0,9984.772,0.0049923860000000006
EG,-2.5209522312162136,-0.0034418147798947933,long,359.09,28.0,10054.519999999999,0.0050272599999999995
MCHP,-2.4948457103034443,-0.004013275921969578,long,72.8459,137.0,9979.8883,0.00498994415
ECL,-2.470768117488652,-0.001591639499398416,long,245.9207,202.0,49675.981400000004,0.024837990700000003
BF.B,-2.4452141827048486,-0.0042232286668609596,long,44.58,223.0,9941.34,0.00497067
BIIB,-2.3417718953742157,-0.003978267550062577,long,176.48,57.0,10059.359999999999,0.005029679999999999
LIN,-2.3160200641850515,-0.0017496249330099932,long,457.83,110.0,50361.299999999996,0.02518065
UBER,-2.283471309159502,-0.001974698174842869,long,70.805,698.0,49421.89000000001,0.024710945000000005
ETN,-2.256968747817087,-0.00021385638676822875,long,329.085,151.0,49691.835,0.0248459175
ACGL,-2.2427464570818803,-0.004537755108055966,long,100.23378,100.0,10023.377999999999,0.005011689
MTCH,-2.207935761867023,-0.0019379938223460754,long,36.115,1367.0,49369.205,0.0246846025
IQV,-2.2003939039315745,-0.00569034302191583,long,206.755,49.0,10130.994999999999,0.005065497499999999
SWK,-2.1961778314705116,-0.006880102886971486,long,93.48,107.0,10002.36,0.00500118
TDG,-2.189106802842654,-0.0038206726960741894,long,1303.251454,8.0,10426.011632,0.005213005816
VTR,1.5316946980539494,0.00176467560903861,short,66.68,-149.0,-9935.320000000002,-0.0049676600000000005
FOX,1.5379529790360325,0.00027500651972215453,short,39.025,-1266.0,-49405.65,-0.024702825
PKG,1.550966558044855,0.0028688922143784326,short,229.63,-44.0,-10103.72,-0.00505186
BKR,1.5768500956303806,0.0024573556780354386,short,38.1876,-260.0,-9928.776000000002,-0.004964388000000001
EQIX,1.5943981363479116,0.001285237670877814,short,913.59,-55.0,-50247.450000000004,-0.025123725000000003
WELL,1.6192462344642367,0.0030261986084003513,short,136.925,-74.0,-10132.45,-0.005066225000000001
ZBH,1.6406526511672175,-2.5552164771668473e-05,short,107.57,-460.0,-49482.2,-0.0247411
NCLH,1.6461499912848632,0.010056805470941947,short,25.5088,-389.0,-9922.923200000001,-0.0049614616000000005
IEX,1.6697923176879208,0.00043792504823076084,short,215.9288,-230.0,-49663.623999999996,-0.024831811999999998
FFIV,1.6726394146366912,0.0028505096697492645,short,233.8137,-43.0,-10053.9891,-0.00502699455
FMC,1.7638541159211691,-0.0002628019303411697,short,65.0586,-760.0,-49444.536,-0.024722268
GEV,1.776047925134466,0.007504348108246526,short,301.5,-34.0,-10251.0,-0.0051255
GDDY,1.7848242902175755,0.0027780631373743483,short,166.71,-60.0,-10002.6,-0.0050013
GOOG,1.8623430932457212,0.0015583033314676214,short,172.98,-287.0,-49645.259999999995,-0.02482263
GOOGL,1.8699044542809409,0.0015004317373453516,short,171.37,-289.0,-49525.93,-0.024762965
T,1.8942033821933346,0.0011135311851218801,short,22.525,-2192.0,-49374.799999999996,-0.024687399999999998
NWSA,1.9319914997842278,0.0010236688301757462,short,27.225,-1814.0,-49386.15,-0.024693075000000002
GPN,1.9353275827459129,0.0008714878376552513,short,104.0816,-476.0,-49542.8416,-0.0247714208
NWS,1.9549003659814563,0.0017655076133263794,short,29.065,-1190.0,-34587.35,-0.017293674999999998
LDOS,2.054128259566504,0.005410015423375226,short,183.69,-55.0,-10102.95,-0.005051475000000001
VMC,2.081462664606867,0.004407963434715032,short,276.32,-37.0,-10223.84,-0.00511192
VRSK,2.192344642835976,0.0016861976958335578,short,277.9864,-36.0,-10007.5104,-0.0050037551999999996
INCY,2.365986913437182,0.005351649729127369,short,74.1582,-135.0,-10011.357,-0.0050056785
ABBV,2.457259896785689,0.0013099000369827638,short,202.9467,-245.0,-49721.9415,-0.02486097075
GRMN,2.619343503842281,0.006523463279290817,short,199.3,-51.0,-10164.300000000001,-0.0050821500000000006
DAY,2.6822243026426222,0.006936387030644408,short,71.54,-139.0,-9944.060000000001,-0.0049720300000000005
CMCSA,2.7173254069032353,0.0018853936096784657,short,43.5,-228.0,-9918.0,-0.004959
WBD,2.750925080533786,3.1980533203924544e-05,short,8.205,-6015.0,-49353.075,-0.024676537499999998
EA,2.859411681011741,0.0022741973587110434,short,150.98,-67.0,-10115.66,-0.00505783
SW,2.977752913237574,0.0023647810055076033,short,51.56,-192.0,-9899.52,-0.00494976
PARA,2.9963278654271592,0.0012098690028649098,short,10.905,-4527.0,-49366.935,-0.0246834675
BMY,3.0876894457899504,0.002837029171619379,short,55.095,-180.0,-9917.1,-0.00495855
BKNG,3.1141327694905985,0.004496987505588733,short,4662.94,-3.0,-13988.82,-0.0069944099999999995
GEN,3.1413384802687596,0.0035566257379775045,short,29.605,-335.0,-9917.675,-0.0049588374999999995
XEL,3.2781414494970096,0.00166317467217021,short,67.605,-147.0,-9937.935000000001,-0.004968967500000001
WTW,3.585463350212319,0.0016657329418415993,short,305.508,-33.0,-10081.764,-0.005040882
ETR,3.813422341050308,0.007729939111578869,short,155.39,-65.0,-10100.349999999999,-0.005050175
AME,3.8835518573677,0.0029079433345273018,short,182.7943,-55.0,-10053.6865,-0.00502684325
IP,3.886943207209913,0.005974269035382895,short,55.4268,-179.0,-9921.3972,-0.0049606986
MO,4.084017083331112,0.003135737330778461,short,54.6351,-182.0,-9943.5882,-0.0049717941
PAYC,4.139833532393921,0.012164588898918288,short,214.29,-47.0,-10071.63,-0.005035815
