ticker,z_score,position,weight
LLY,-3.0618026336440565,long,0.024390243902439025
ACN,-2.5013502270773373,long,0.024390243902439025
NKE,-2.42477220206261,long,0.024390243902439025
IBM,-2.3349198304705037,long,0.024390243902439025
CAT,-2.2689750103274817,long,0.024390243902439025
RTX,-2.1753203627524,long,0.024390243902439025
CL,-2.050641026673289,long,0.024390243902439025
HD,-2.0168865894834727,long,0.024390243902439025
XOM,-1.890114237049907,long,0.024390243902439025
KO,-1.8687735533390875,long,0.024390243902439025
LMT,-1.8576545768494646,long,0.024390243902439025
NEE,-1.8486085995100123,long,0.024390243902439025
LOW,-1.8377960879578192,long,0.024390243902439025
PEP,-1.8311898096793202,long,0.024390243902439025
PG,-1.8282940295598828,long,0.024390243902439025
CVX,-1.8060134672260322,long,0.024390243902439025
DHR,-1.7638426239629725,long,0.024390243902439025
MCD,-1.696619326348734,long,0.024390243902439025
PYPL,-1.6369974400666152,long,0.024390243902439025
GE,-1.5890525953027848,long,0.024390243902439025
VZ,-1.5642829432151177,long,0.024390243902439025
PLD,-1.537452728981557,long,0.024390243902439025
BIIB,-1.475802149264387,long,0.024390243902439025
MMM,-1.4187308601839441,long,0.024390243902439025
CI,-1.3032648890861414,long,0.024390243902439025
UNP,-1.280006062524642,long,0.024390243902439025
COST,-1.2691965298651413,long,0.024390243902439025
MRK,-1.2669170345202394,long,0.024390243902439025
F,-1.2170919260962885,long,0.024390243902439025
HON,-1.1957028456409524,long,0.024390243902439025
AMGN,-1.098116049932708,long,0.024390243902439025
SHW,-1.085739651126366,long,0.024390243902439025
PFE,-1.0668005976408406,long,0.024390243902439025
TGT,-1.0461442741569957,long,0.024390243902439025
INTC,-0.9520474295525607,long,0.024390243902439025
CB,-0.9184017456313396,long,0.024390243902439025
SO,-0.9053365683105601,long,0.024390243902439025
QCOM,-0.904628533884126,long,0.024390243902439025
BRK.B,-0.899961356527949,long,0.024390243902439025
UNH,-0.8955553927516244,long,0.024390243902439025
ADBE,-0.8951696371123524,long,0.024390243902439025
BLK,-0.0341239338519543,short,-0.024390243902439025
DIS,0.0,short,-0.024390243902439025
UPS,0.056515417992762135,short,-0.024390243902439025
SPG,0.08951460034333027,short,-0.024390243902439025
AXP,0.11252434410284813,short,-0.024390243902439025
BA,0.1634632512799547,short,-0.024390243902439025
WMT,0.20045391490905615,short,-0.024390243902439025
ADI,0.26417673527288943,short,-0.024390243902439025
ORCL,0.2814225814854083,short,-0.024390243902439025
MDT,0.45252140034609883,short,-0.024390243902439025
CSCO,0.46917002301629335,short,-0.024390243902439025
NVDA,0.5603274117752184,short,-0.024390243902439025
SCHW,0.5625359564980948,short,-0.024390243902439025
BAC,0.6272396211085107,short,-0.024390243902439025
T,0.6451392346609262,short,-0.024390243902439025
MS,0.6610055994647667,short,-0.024390243902439025
CME,0.7270177107136808,short,-0.024390243902439025
JPM,0.74145912196105,short,-0.024390243902439025
GS,0.7419391851118762,short,-0.024390243902439025
NFLX,0.8147581079189194,short,-0.024390243902439025
USB,0.823009605033814,short,-0.024390243902439025
WFC,0.942816700581324,short,-0.024390243902439025
ISRG,0.976733538938277,short,-0.024390243902439025
SBUX,0.9769138763398415,short,-0.024390243902439025
FIS,0.9799264213650782,short,-0.024390243902439025
PNC,1.0145754370413682,short,-0.024390243902439025
META,1.0235902013912332,short,-0.024390243902439025
GILD,1.0906363460696913,short,-0.024390243902439025
TSLA,1.1296517321180233,short,-0.024390243902439025
TXN,1.1579945837438341,short,-0.024390243902439025
CMCSA,1.2623241895162578,short,-0.024390243902439025
INTU,1.3206580105134789,short,-0.024390243902439025
PM,1.4409064461213283,short,-0.024390243902439025
V,1.5589909528527484,short,-0.024390243902439025
BKNG,1.7955234354100533,short,-0.024390243902439025
MSFT,1.9266417696376579,short,-0.024390243902439025
AMZN,1.9498308302915892,short,-0.024390243902439025
MO,1.9910530696399422,short,-0.024390243902439025
ITW,2.1960614226313946,short,-0.024390243902439025
ABBV,2.630091578701883,short,-0.024390243902439025
GOOG,3.2201904778151142,short,-0.024390243902439025
